Symbol,ftp_nasdaqtrader,nasdaq_screener_api,nasdaq_traded_list,nasdaq_listed_list,yahoo_nasdaq_tickers
BBCB,1,0,1,0,0
BBCP,1,1,1,1,0
BBD,1,0,1,0,0
BBDC,1,0,1,0,0
BBDO,1,0,1,0,0
BBEM,1,0,1,0,0
BBEU,1,0,1,0,0
BBGI,1,1,1,1,0
BBH,1,0,1,1,0
BBHY,1,0,1,0,0
BBIB,1,0,1,0,0
BBIN,1,0,1,0,0
BBIO,1,1,1,1,0
BBJP,1,0,1,0,0
BBLB,1,0,1,0,0
BBLG,1,1,1,1,0
BBLGW,1,1,1,1,0
BBLU,1,0,1,0,0
BBMC,1,0,1,0,0
BBN,1,0,1,0,0
BBP,1,0,1,0,0
BBRE,1,0,1,0,0
BBSB,1,0,1,0,0
BBSC,1,0,1,0,0
BBSI,1,1,1,1,0
BBU,1,0,1,0,0
BBUC,1,0,1,0,0
BBUS,1,0,1,0,0
BBVA,1,0,1,0,0
BBW,1,0,1,0,0
BBWI,1,0,1,0,0
BBY,1,0,1,0,0
BC,1,0,1,0,0
BC$A,1,0,1,0,0
BC$C,1,0,1,0,0
BCAB,1,1,1,1,0
BCAL,1,1,1,1,0
BCAN,1,1,1,1,0
BCAT,1,0,1,0,0
BCAX,1,1,1,1,0
BCBP,1,1,1,1,0
BCC,1,0,1,0,0
BCD,1,0,1,0,0
BCDA,1,1,1,1,0
BCDF,1,0,1,0,0
BCE,1,0,1,0,0
BCG,1,1,1,1,0
BCGWW,1,1,1,1,0
BCH,1,0,1,0,0
BCHP,1,0,1,0,0
BCI,1,0,1,0,0
BCIL,1,0,1,0,0
BCIM,1,0,1,0,0
BCLI,1,1,1,1,0
BCML,1,1,1,1,0
BCO,1,0,1,0,0
BCOV,1,1,1,1,0
BCOW,1,1,1,1,0
BCPC,1,1,1,1,0
BCRX,1,1,1,1,0
BCS,1,0,1,0,0
BCSF,1,0,1,0,0
BCTX,1,1,1,1,0
BCTXW,1,1,1,1,0
BCUS,1,0,1,0,0
BCV,1,0,1,0,0
BCV$A,1,0,1,0,0
BCX,1,0,1,0,0
BCYC,1,1,1,1,0
BDC,1,0,1,0,0
BDCX,1,0,1,0,0
BDCZ,1,0,1,0,0
BDEC,1,0,1,0,0
BDGS,1,0,1,1,0
BDIV,1,0,1,0,0
BDJ,1,0,1,0,0
BDL,1,0,1,0,0
BDMD,1,1,1,1,0
BDMDW,1,1,1,1,0
BDN,1,0,1,0,0
BDRX,1,1,1,1,0
BDRY,1,0,1,0,0
BDSX,1,1,1,1,0
BDTX,1,1,1,1,0
BDVG,1,0,1,0,0
BDX,1,0,1,0,0
BE,1,0,1,0,0
BEAG,1,1,1,1,0
BEAGR,1,1,1,1,0
BEAGU,1,1,1,1,0
BEAM,1,1,1,1,0
BEAT,1,1,1,1,0
BEATW,1,1,1,1,0
BECN,1,1,1,1,0
BEDU,1,0,1,0,0
BEDZ,1,0,1,0,0
BEEM,1,1,1,1,0
BEEP,1,0,1,0,0
BEEX,1,0,1,1,0
BEEZ,1,0,1,1,0
BEKE,1,0,1,0,0
BELFA,1,1,1,1,0
BELFB,1,1,1,1,0
BELT,1,0,1,1,0
BEMB,1,0,1,0,0
BEN,1,0,1,0,0
BENF,1,1,1,1,0
BENFW,1,1,1,1,0
BENJ,1,0,1,0,0
BEP,1,0,1,0,0
BEP$A,1,0,1,0,0
BEPC,1,0,1,0,0
BEPH,1,0,1,0,0
BEPI,1,0,1,0,0
BEPJ,1,0,1,0,0
BERY,1,0,1,0,0
BERZ,1,0,1,0,0
BEST,1,0,1,0,0
BETE,1,0,1,0,0
BETH,1,0,1,0,0
BETR,1,1,1,1,0
BETRW,1,0,1,1,0
BETZ,1,0,1,0,0
BF.A,1,0,1,0,0
BF.B,1,0,1,0,0
BFAM,1,0,1,0,0
BFC,1,1,1,1,0
BFEB,1,0,1,0,0
BFH,1,0,1,0,0
BFIN,1,1,1,1,0
BFIX,1,0,1,0,0
BFK,1,0,1,0,0
BFLY,1,0,1,0,0
BFOR,1,0,1,0,0
BFRG,1,1,1,1,0
BFRGW,1,1,1,1,0
BFRI,1,1,1,1,0
BFRIW,1,1,1,1,0
BFS,1,0,1,0,0
BFS$D,1,0,1,0,0
BFS$E,1,0,1,0,0
BFST,1,1,1,1,0
BFZ,1,0,1,0,0
BG,1,0,1,0,0
BGB,1,0,1,0,0
BGC,1,1,1,1,0
BGDV,1,0,1,0,0
BGFV,1,1,1,1,0
BGH,1,0,1,0,0
BGI,1,0,1,0,0
BGIG,1,0,1,0,0
BGLC,1,1,1,1,0
BGLD,1,0,1,0,0
BGM,1,1,1,1,0
BGR,1,0,1,0,0
BGRN,1,0,1,1,0
BGRO,1,0,1,1,0
BGS,1,0,1,0,0
BGSF,1,0,1,0,0
BGT,1,0,1,0,0
BGX,1,0,1,0,0
BGY,1,0,1,0,0
BH,1,0,1,0,0
BH.A,1,0,1,0,0
BHAT,1,1,1,1,0
BHB,1,0,1,0,0
BHC,1,0,1,0,0
BHE,1,0,1,0,0
BHF,1,1,1,1,0
BHFAL,1,1,1,1,0
BHFAM,1,1,1,1,0
BHFAN,1,1,1,1,0
BHFAO,1,1,1,1,0
BHFAP,1,1,1,1,0
BHIL,1,1,1,1,0
BHK,1,0,1,0,0
BHLB,1,0,1,0,0
BHM,1,0,1,0,0
BHP,1,0,1,0,0
BHR,1,0,1,0,0
BHR$B,1,0,1,0,0
BHR$D,1,0,1,0,0
BHRB,1,1,1,1,0
BHST,1,1,1,1,0
BHV,1,0,1,0,0
BHVN,1,0,1,0,0
BHYB,1,0,1,0,0
BIAF,1,1,1,1,0
BIAFW,1,1,1,1,0
BIB,1,0,1,1,0
BIBL,1,0,1,0,0
BIDD,1,0,1,0,0
BIDU,1,1,1,1,0
BIGC,1,1,1,1,0
BIGY,1,0,1,0,0
BIGZ,1,0,1,0,0
BIIB,1,1,1,1,0
BIL,1,0,1,0,0
BILD,1,0,1,0,0
BILI,1,1,1,1,0
BILL,1,0,1,0,0
BILS,1,0,1,0,0
BILZ,1,0,1,0,0
BINC,1,0,1,0,0
BINV,1,0,1,0,0
BIO,1,0,1,0,0
BIO.B,1,0,1,0,0
BIOA,1,1,1,1,0
BIOX,1,1,1,1,0
BIP,1,0,1,0,0
BIP$A,1,0,1,0,0
BIP$B,1,0,1,0,0
BIPC,1,0,1,0,0
BIPH,1,0,1,0,0
BIPI,1,0,1,0,0
BIPJ,1,0,1,0,0
BIRD,1,1,1,1,0
BIRK,1,0,1,0,0
BIS,1,0,1,1,0
BIT,1,0,1,0,0
BITB,1,0,1,0,0
BITC,1,0,1,0,0
BITF,1,1,1,1,0
BITI,1,0,1,0,0
BITO,1,0,1,0,0
BITQ,1,0,1,0,0
BITS,1,0,1,1,0
BITU,1,0,1,0,0
BITX,1,0,1,0,0
BIV,1,0,1,0,0
BIVI,1,1,1,1,0
BIZD,1,0,1,0,0
BJ,1,0,1,0,0
BJAN,1,0,1,0,0
BJDX,1,1,1,1,0
BJK,1,0,1,1,0
BJRI,1,1,1,1,0
BJUL,1,0,1,0,0
BJUN,1,0,1,0,0
BK,1,0,1,0,0
BKAG,1,0,1,0,0
BKCH,1,0,1,1,0
BKCI,1,0,1,0,0
BKD,1,0,1,0,0
BKDT,1,0,1,0,0
BKDV,1,0,1,0,0
BKE,1,0,1,0,0
BKEM,1,0,1,0,0
BKF,1,0,1,0,0
BKGI,1,0,1,0,0
BKH,1,0,1,0,0
BKHA,1,1,1,1,0
BKHAR,1,1,1,1,0
BKHAU,1,1,1,1,0
BKHY,1,0,1,0,0
BKIE,1,0,1,0,0
BKIV,1,0,1,1,0
BKKT,1,0,1,0,0
BKLC,1,0,1,0,0
BKLN,1,0,1,0,0
BKMC,1,0,1,0,0
BKN,1,0,1,0,0
BKNG,1,1,1,1,0
BKR,1,1,1,1,0
BKSE,1,0,1,0,0
BKSY,1,0,1,0,0
BKT,1,0,1,0,0
BKTI,1,0,1,0,0
BKU,1,0,1,0,0
BKUI,1,0,1,0,0
BKV,1,0,1,0,0
BKWO,1,0,1,1,0
BKYI,1,1,1,1,0
BL,1,1,1,1,0
BLAC,1,1,1,1,0
BLACR,1,1,1,1,0
BLACU,1,1,1,1,0
BLACW,1,1,1,1,0
BLBD,1,1,1,1,0
BLBX,1,1,1,1,0
BLCN,1,0,1,1,0
BLCO,1,0,1,0,0
BLCR,1,0,1,1,0
BLCV,1,0,1,0,0
BLD,1,0,1,0,0
BLDE,1,1,1,1,0
BLDEW,1,1,1,1,0
BLDG,1,0,1,0,0
BLDP,1,1,1,1,0
BLDR,1,0,1,0,0
BLE,1,0,1,0,0
BLES,1,0,1,0,0
BLFS,1,1,1,1,0
BLFY,1,1,1,1,0
BLIN,1,1,1,1,0
BLK,1,0,1,0,0
BLKB,1,1,1,1,0
BLKC,1,0,1,0,0
BLLD,1,0,1,1,0
BLMN,1,1,1,1,0
BLMZ,1,1,1,1,0
BLND,1,0,1,0,0
BLNK,1,1,1,1,0
BLOK,1,0,1,0,0
BLRX,1,1,1,1,0
BLTE,1,1,1,1,0
BLUE,1,1,1,1,0
BLV,1,0,1,0,0
BLW,1,0,1,0,0
BLX,1,0,1,0,0
BLZE,1,1,1,1,0
BMA,1,0,1,0,0
BMAR,1,0,1,0,0
BMAY,1,0,1,0,0
BMBL,1,1,1,1,0
BMDL,1,0,1,1,0
BME,1,0,1,0,0
BMEA,1,1,1,1,0
BMED,1,0,1,0,0
BMEZ,1,0,1,0,0
BMI,1,0,1,0,0
BML$G,1,0,1,0,0
BML$H,1,0,1,0,0
BML$J,1,0,1,0,0
BML$L,1,0,1,0,0
BMN,1,0,1,0,0
BMO,1,0,1,0,0
BMR,1,1,1,1,0
BMRA,1,1,1,1,0
BMRC,1,1,1,1,0
BMRN,1,1,1,1,0
BMTX,1,0,1,0,0
BMVP,1,0,1,0,0
BMY,1,0,1,0,0
BN,1,0,1,0,0
BNAI,1,1,1,1,0
BNAIW,1,1,1,1,0
BND,1,0,1,1,0
BNDC,1,0,1,0,0
BNDD,1,0,1,0,0
BNDI,1,0,1,0,0
BNDS,1,0,1,0,0
BNDW,1,0,1,1,0
BNDX,1,0,1,1,0
BNED,1,0,1,0,0
BNGE,1,0,1,0,0
BNGO,1,1,1,1,0
BNH,1,0,1,0,0
BNIX,1,1,1,1,0
BNIXR,1,1,1,1,0
BNIXW,1,1,1,1,0
BNJ,1,0,1,0,0
BNL,1,0,1,0,0
BNO,1,0,1,0,0
BNOV,1,0,1,0,0
BNR,1,1,1,1,0
BNRG,1,1,1,1,0
BNS,1,0,1,0,0
BNT,1,0,1,0,0
BNTC,1,1,1,1,0
BNTX,1,1,1,1,0
BNY,1,0,1,0,0
BNZI,1,1,1,1,0
BNZIW,1,1,1,1,0
BOAT,1,0,1,0,0
BOC,1,0,1,0,0
BOCT,1,0,1,0,0
BODI,1,0,1,0,0
BOE,1,0,1,0,0
BOF,1,1,1,1,0
BOH,1,0,1,0,0
BOH$A,1,0,1,0,0
BOH$B,1,0,1,0,0
BOIL,1,0,1,0,0
BOKF,1,1,1,1,0
BOLD,1,1,1,1,0
BOLT,1,1,1,1,0
BON,1,1,1,1,0
BOND,1,0,1,0,0
BOOM,1,1,1,1,0
BOOT,1,0,1,0,0
BORR,1,0,1,0,0
BOSC,1,1,1,1,0
BOTJ,1,1,1,1,0
BOTT,1,0,1,1,0
BOTZ,1,0,1,1,0
BOUT,1,0,1,0,0
BOW,1,0,1,0,0
BOWN,1,1,1,1,0
BOWNR,1,1,1,1,0
BOWNU,1,1,1,1,0
BOX,1,0,1,0,0
BOXA,1,0,1,0,0
BOXL,1,1,1,1,0
BOXX,1,0,1,0,0
BP,1,0,1,0,0
BPAY,1,0,1,0,0
BPH,1,0,1,0,0
BPMC,1,1,1,1,0
BPOP,1,1,1,1,0
BPOPM,1,1,1,1,0
BPRN,1,1,1,1,0
BPT,1,0,1,0,0
BPTH,1,1,1,1,0
BPYPM,1,1,1,1,0
BPYPN,1,1,1,1,0
BPYPO,1,1,1,1,0
BPYPP,1,1,1,1,0
BQ,1,0,1,0,0
BR,1,0,1,0,0
BRAG,1,1,1,1,0
BRAZ,1,0,1,0,0
BRBR,1,0,1,0,0
BRBS,1,0,1,0,0
BRC,1,0,1,0,0
BRCC,1,0,1,0,0
BRDG,1,0,1,0,0
BREA,1,1,1,1,0
BRF,1,0,1,0,0
BRFH,1,1,1,1,0
BRFS,1,0,1,0,0
BRHY,1,0,1,1,0
BRIA,1,0,1,0,0
BRID,1,1,1,1,0
BRIF,1,0,1,0,0
BRK.A,1,0,1,0,0
BRK.B,1,0,1,0,0
BRKD,1,0,1,1,0
BRKL,1,1,1,1,0
BRKR,1,1,1,1,0
BRKU,1,0,1,1,0
BRLN,1,0,1,0,0
BRLS,1,1,1,1,0
BRLSW,1,1,1,1,0
BRLT,1,1,1,1,0
BRN,1,0,1,0,0
BRNS,1,1,1,1,0
BRNY,1,0,1,1,0
BRO,1,0,1,0,0
BROG,1,1,1,1,0
BROS,1,0,1,0,0
BRRR,1,0,1,1,0
BRSP,1,0,1,0,0
BRT,1,0,1,0,0
BRTR,1,0,1,1,0
BRTX,1,1,1,1,0
BRW,1,0,1,0,0
BRX,1,0,1,0,0
BRY,1,1,1,1,0
BRZE,1,1,1,1,0
BRZU,1,0,1,0,0
BSAC,1,0,1,0,0
BSBK,1,1,1,1,0
BSBR,1,0,1,0,0
BSCP,1,0,1,1,0
BSCQ,1,0,1,1,0
BSCR,1,0,1,1,0
BSCS,1,0,1,1,0
BSCT,1,0,1,1,0
BSCU,1,0,1,1,0
BSCV,1,0,1,1,0
BSCW,1,0,1,1,0
BSCX,1,0,1,1,0
BSCY,1,0,1,1,0
BSEP,1,0,1,0,0
BSET,1,1,1,1,0
BSGM,1,1,1,1,0
BSII,1,1,1,1,0
BSIIU,1,1,1,1,0
BSIIW,1,1,1,1,0
BSJP,1,0,1,1,0
BSJQ,1,0,1,1,0
BSJR,1,0,1,1,0
BSJS,1,0,1,1,0
BSJT,1,0,1,1,0
BSJU,1,0,1,1,0
BSJV,1,0,1,1,0
BSJW,1,0,1,1,0
BSL,1,0,1,0,0
BSLK,1,1,1,1,0
BSLKW,1,1,1,1,0
BSM,1,0,1,0,0
BSMC,1,0,1,0,0
BSMP,1,0,1,1,0
BSMQ,1,0,1,1,0
BSMR,1,0,1,1,0
BSMS,1,0,1,1,0
BSMT,1,0,1,1,0
BSMU,1,0,1,1,0
BSMV,1,0,1,1,0
BSMW,1,0,1,1,0
BSMY,1,0,1,1,0
BSR,1,0,1,0,0
BSRR,1,1,1,1,0
BSSX,1,0,1,1,0
BST,1,0,1,0,0
BSTP,1,0,1,0,0
BSTZ,1,0,1,0,0
BSV,1,0,1,0,0
BSVN,1,1,1,1,0
BSVO,1,0,1,1,0
BSX,1,0,1,0,0
BSY,1,1,1,1,0
BTA,1,0,1,0,0
BTAI,1,1,1,1,0
BTAL,1,0,1,0,0
BTBD,1,1,1,1,0
BTBDW,1,1,1,1,0
BTBT,1,1,1,1,0
BTC,1,0,1,0,0
BTCI,1,0,1,0,0
BTCL,1,0,1,0,0
BTCM,1,0,1,0,0
BTCO,1,0,1,0,0
BTCS,1,1,1,1,0
BTCT,1,1,1,1,0
BTCTW,1,1,1,1,0
BTCW,1,0,1,0,0
BTCZ,1,0,1,0,0
BTDR,1,1,1,1,0
BTE,1,0,1,0,0
BTF,1,0,1,1,0
BTFX,1,0,1,1,0
BTG,1,0,1,0,0
BTGD,1,0,1,1,0
BTI,1,0,1,0,0
BTM,1,1,1,1,0
BTMD,1,1,1,1,0
BTMWW,1,1,1,1,0
BTO,1,0,1,0,0
BTOC,1,1,1,1,0
BTOG,1,1,1,1,0
BTOP,1,0,1,0,0
BTR,1,0,1,0,0
BTRN,1,0,1,0,0
BTSG,1,1,1,1,0
BTSGU,1,1,1,1,0
BTT,1,0,1,0,0
BTTR,1,0,1,0,0
BTU,1,0,1,0,0
BTZ,1,0,1,0,0
BUCK,1,0,1,0,0
BUD,1,0,1,0,0
BUFB,1,0,1,0,0
BUFC,1,0,1,1,0
BUFD,1,0,1,0,0
BUFF,1,0,1,0,0
BUFG,1,0,1,0,0
BUFI,1,0,1,1,0
BUFM,1,0,1,1,0
BUFP,1,0,1,0,0
BUFQ,1,0,1,0,0
BUFR,1,0,1,0,0
BUFS,1,0,1,0,0
BUFT,1,0,1,0,0
BUFY,1,0,1,0,0
BUFZ,1,0,1,0,0
BUG,1,0,1,1,0
BUI,1,0,1,0,0
BUJA,1,1,1,1,0
BUJAR,1,1,1,1,0
BUJAU,1,1,1,1,0
BUJAW,1,1,1,1,0
BUL,1,0,1,0,0
BULD,1,0,1,1,0
BULZ,1,0,1,0,0
BUR,1,0,1,0,0
BURL,1,0,1,0,0
BURU,1,0,1,0,0
BUSA,1,0,1,0,0
BUSE,1,1,1,1,0
BUXX,1,0,1,0,0
BUYO,1,0,1,0,0
BUYW,1,0,1,0,0
BUYZ,1,0,1,0,0
BUZZ,1,0,1,0,0
BV,1,0,1,0,0
BVFL,1,1,1,1,0
BVN,1,0,1,0,0
BVS,1,1,1,1,0
BW,1,0,1,0,0
BW$A,1,0,1,0,0
BWA,1,0,1,0,0
BWAY,1,1,1,1,0
BWB,1,1,1,1,0
BWBBP,1,1,1,1,0
BWEB,1,0,1,0,0
BWEN,1,1,1,1,0
BWET,1,0,1,0,0
BWFG,1,1,1,1,0
BWG,1,0,1,0,0
BWIN,1,1,1,1,0
BWLP,1,0,1,0,0
BWMN,1,1,1,1,0
BWMX,1,0,1,0,0
BWNB,1,0,1,0,0
BWSN,1,0,1,0,0
BWTG,1,0,1,0,0
BWX,1,0,1,0,0
BWXT,1,0,1,0,0
BWZ,1,0,1,0,0
BX,1,0,1,0,0
BXC,1,0,1,0,0
BXMT,1,0,1,0,0
BXMX,1,0,1,0,0
BXP,1,0,1,0,0
BXSL,1,0,1,0,0
BY,1,0,1,0,0
BYD,1,0,1,0,0
BYFC,1,1,1,1,0
BYLD,1,0,1,0,0
BYM,1,0,1,0,0
BYND,1,1,1,1,0
BYNO,1,1,1,1,0
BYNOU,1,1,1,1,0
BYNOW,1,1,1,1,0
BYON,1,0,1,0,0
BYRE,1,0,1,0,0
BYRN,1,1,1,1,0
BYSI,1,1,1,1,0
BZ,1,1,1,1,0
BZAI,1,1,1,1,0
BZAIW,1,1,1,1,0
BZFD,1,1,1,1,0
BZFDW,1,1,1,1,0
BZH,1,0,1,0,0
BZQ,1,0,1,0,0
BZUN,1,1,1,1,0
C,1,0,1,0,0
C$N,1,0,1,0,0
CA,1,0,1,1,0
CAAA,1,0,1,0,0
CAAP,1,0,1,0,0
CAAS,1,1,1,1,0
CABA,1,1,1,1,0
CABO,1,0,1,0,0
CAC,1,1,1,1,0
CACC,1,1,1,1,0
CACI,1,0,1,0,0
CADE,1,0,1,0,0
CADL,1,1,1,1,0
CAE,1,0,1,0,0
CAF,1,0,1,0,0
CAFG,1,0,1,1,0
CAFX,1,0,1,0,0
CAG,1,0,1,0,0
CAH,1,0,1,0,0
CAKE,1,1,1,1,0
CAL,1,0,1,0,0
CALC,1,1,1,1,0
CALF,1,0,1,0,0
CALI,1,0,1,1,0
CALM,1,1,1,1,0
CALX,1,0,1,0,0
CAML,1,0,1,0,0
CAMP,1,1,1,1,0
CAMT,1,1,1,1,0
CAMX,1,0,1,0,0
CAN,1,1,1,1,0
CANC,1,0,1,1,0
CANE,1,0,1,0,0
CANF,1,0,1,0,0
CANG,1,0,1,0,0
CANQ,1,0,1,1,0
CAOS,1,0,1,0,0
CAPE,1,0,1,0,0
CAPL,1,0,1,0,0
CAPN,1,1,1,1,0
CAPNR,1,0,1,1,0
CAPNU,1,1,1,1,0
CAPR,1,1,1,1,0
CAPT,1,1,1,1,0
CAPTW,1,1,1,1,0
CAR,1,1,1,1,0
CARA,1,1,1,1,0
CARD,1,0,1,0,0
CARE,1,1,1,1,0
CARG,1,1,1,1,0
CARK,1,0,1,0,0
CARM,1,1,1,1,0
CARR,1,0,1,0,0
CARS,1,0,1,0,0
CART,1,1,1,1,0
CARU,1,0,1,0,0
CARV,1,1,1,1,0
CARY,1,0,1,1,0
CARZ,1,0,1,1,0
CAS,1,0,1,0,0
CASH,1,1,1,1,0
CASI,1,1,1,1,0
CASK,1,1,1,1,0
CASS,1,1,1,1,0
CASY,1,1,1,1,0
CAT,1,0,1,0,0
CATF,1,0,1,0,0
CATH,1,0,1,1,0
CATO,1,0,1,0,0
CATX,1,0,1,0,0
CATY,1,1,1,1,0
CAVA,1,0,1,0,0
CB,1,0,1,0,0
CBAN,1,0,1,0,0
CBAT,1,1,1,1,0
CBFV,1,1,1,1,0
CBL,1,0,1,0,0
CBLL,1,1,1,1,0
CBLS,1,0,1,0,0
CBNA,1,0,1,0,0
CBNK,1,1,1,1,0
CBO,1,0,1,0,0
CBOE,1,0,1,0,0
CBOJ,1,0,1,0,0
CBON,1,0,1,0,0
CBRE,1,0,1,0,0
CBRL,1,1,1,1,0
CBSE,1,0,1,0,0
CBSH,1,1,1,1,0
CBT,1,0,1,0,0
CBU,1,0,1,0,0
CBUS,1,1,1,1,0
CBX,1,0,1,0,0
CBZ,1,0,1,0,0
CC,1,0,1,0,0
CCAP,1,1,1,1,0
CCB,1,1,1,1,0
CCBG,1,1,1,1,0
CCCC,1,1,1,1,0
CCCS,1,1,1,1,0
CCD,1,1,1,1,0
CCEC,1,1,1,1,0
CCEF,1,0,1,0,0
CCEL,1,0,1,0,0
CCEP,1,1,1,1,0
CCG,1,1,1,1,0
CCGWW,1,1,1,1,0
CCI,1,0,1,0,0
CCIA,1,0,1,0,0
CCIF,1,0,1,0,0
CCIR,1,1,1,1,0
CCIRU,1,1,1,1,0
CCIRW,1,1,1,1,0
CCIX,1,1,1,1,0
CCIXU,1,0,1,1,0
CCIXW,1,1,1,1,0
CCJ,1,0,1,0,0
CCK,1,0,1,0,0
CCL,1,0,1,0,0
CCLD,1,1,1,1,0
CCLDO,1,1,1,1,0
CCLDP,1,1,1,1,0
CCM,1,0,1,0,0
CCMG,1,0,1,0,0
CCNE,1,1,1,1,0
CCNEP,1,1,1,1,0
CCNR,1,0,1,1,0
CCO,1,0,1,0,0
CCOI,1,1,1,1,0
CCOR,1,0,1,0,0
CCRD,1,0,1,0,0
CCRN,1,1,1,1,0
CCRV,1,0,1,0,0
CCS,1,0,1,0,0
CCSB,1,0,1,1,0
CCSI,1,1,1,1,0
CCSO,1,0,1,1,0
CCTG,1,1,1,1,0
CCU,1,0,1,0,0
CCZ,1,0,1,0,0
CDC,1,0,1,1,0
CDE,1,0,1,0,0
CDEI,1,0,1,0,0
CDIO,1,1,1,1,0
CDIOW,1,1,1,1,0
CDL,1,0,1,1,0
CDLR,1,0,1,0,0
CDLX,1,1,1,1,0
CDMO,1,1,1,1,0
CDNA,1,1,1,1,0
CDNS,1,1,1,1,0
CDP,1,0,1,0,0
CDR$B,1,0,1,0,0
CDR$C,1,0,1,0,0
CDRE,1,0,1,0,0
CDRO,1,1,1,1,0
CDROW,1,1,1,1,0
CDT,1,1,1,1,0
CDTG,1,1,1,1,0
CDTTW,1,1,1,1,0
CDTX,1,1,1,1,0
CDW,1,1,1,1,0
CDX,1,0,1,0,0
CDXC,1,1,1,1,0
CDXS,1,1,1,1,0
CDZI,1,1,1,1,0
CDZIP,1,1,1,1,0
CE,1,0,1,0,0
CEAD,1,1,1,1,0
CEADW,1,1,1,1,0
CECO,1,1,1,1,0
CEE,1,0,1,0,0
CEF,1,0,1,0,0
CEFA,1,0,1,1,0
CEFD,1,0,1,0,0
CEFS,1,0,1,0,0
CEG,1,1,1,1,0
CELC,1,1,1,1,0
CELH,1,1,1,1,0
CELU,1,1,1,1,0
CELUW,1,1,1,1,0
CELZ,1,1,1,1,0
CEMB,1,0,1,0,0
CENN,1,1,1,1,0
CENT,1,1,1,1,0
CENTA,1,1,1,1,0
CENX,1,1,1,1,0
CEP,1,1,1,1,0
CEPI,1,0,1,1,0
CEPO,1,1,1,1,0
CEPU,1,0,1,0,0
CERO,1,1,1,1,0
CEROW,1,1,1,1,0
CERS,1,1,1,1,0
CERT,1,1,1,1,0
CERY,1,0,1,0,0
CET,1,0,1,0,0
CETH,1,0,1,0,0
CETX,1,1,1,1,0
CETY,1,1,1,1,0
CEV,1,0,1,0,0
CEVA,1,1,1,1,0
CEW,1,0,1,0,0
CF,1,0,1,0,0
CFA,1,0,1,1,0
CFB,1,1,1,1,0
CFBK,1,1,1,1,0
CFFI,1,1,1,1,0
CFFN,1,1,1,1,0
CFG,1,0,1,0,0
CFG$E,1,0,1,0,0
CFG$H,1,0,1,0,0
CFLT,1,1,1,1,0
CFO,1,0,1,1,0
CFR,1,0,1,0,0
CFR$B,1,0,1,0,0
CFSB,1,1,1,1,0
CG,1,1,1,1,0
CGABL,1,1,1,1,0
CGAU,1,0,1,0,0
CGBD,1,1,1,1,0
CGBDL,1,1,1,1,0
CGBL,1,0,1,0,0
CGBS,1,1,1,1,0
CGBSW,1,1,1,1,0
CGC,1,1,1,1,0
CGCB,1,0,1,0,0
CGCP,1,0,1,0,0
CGCV,1,0,1,0,0
CGDG,1,0,1,0,0
CGDV,1,0,1,0,0
CGEM,1,1,1,1,0
CGEN,1,1,1,1,0
CGGE,1,0,1,0,0
CGGO,1,0,1,0,0
CGGR,1,0,1,0,0
CGHM,1,0,1,0,0
CGIB,1,0,1,0,0
CGIC,1,0,1,0,0
CGIE,1,0,1,0,0
CGMM,1,0,1,0,0
CGMS,1,0,1,0,0
CGMU,1,0,1,0,0
CGNG,1,0,1,0,0
CGNT,1,1,1,1,0
CGNX,1,1,1,1,0
CGO,1,1,1,1,0
CGON,1,1,1,1,0
CGRO,1,0,1,0,0
CGSD,1,0,1,0,0
CGSM,1,0,1,0,0
CGTL,1,1,1,1,0
CGTX,1,1,1,1,0
CGUI,1,0,1,0,0
CGUS,1,0,1,0,0
CGV,1,0,1,0,0
CGW,1,0,1,0,0
CGXU,1,0,1,0,0
CHAR,1,1,1,1,0
CHARR,1,0,1,1,0
CHARU,1,0,1,1,0
CHAT,1,0,1,0,0
CHAU,1,0,1,0,0
CHCI,1,1,1,1,0
CHCO,1,1,1,1,0
CHCT,1,0,1,0,0
CHD,1,0,1,0,0
CHDN,1,1,1,1,0
CHE,1,0,1,0,0
CHEB,1,0,1,0,0
CHEF,1,1,1,1,0
CHEK,1,1,1,1,0
CHGG,1,0,1,0,0
CHGX,1,0,1,0,0
CHH,1,0,1,0,0
CHI,1,1,1,1,0
CHIQ,1,0,1,0,0
CHKP,1,1,1,1,0
CHMG,1,1,1,1,0
CHMI,1,0,1,0,0
CHN,1,0,1,0,0
CHNR,1,1,1,1,0
CHPS,1,0,1,1,0
CHPT,1,0,1,0,0
CHR,1,1,1,1,0
CHRD,1,1,1,1,0
CHRO,1,0,1,0,0
CHRS,1,1,1,1,0
CHRW,1,1,1,1,0
CHSCL,1,1,1,1,0
CHSCM,1,1,1,1,0
CHSCN,1,1,1,1,0
CHSCO,1,1,1,1,0
CHSCP,1,1,1,1,0
CHSN,1,1,1,1,0
CHT,1,0,1,0,0
CHTR,1,1,1,1,0
CHW,1,1,1,1,0
CHWY,1,0,1,0,0
CHX,1,1,1,1,0
CHY,1,1,1,1,0
CI,1,0,1,0,0
CIA,1,0,1,0,0
CIB,1,0,1,0,0
CIBR,1,0,1,1,0
CICB,1,0,1,0,0
CIEN,1,0,1,0,0
CIF,1,0,1,0,0
CIFR,1,1,1,1,0
CIFRW,1,1,1,1,0
CIG,1,0,1,0,0
CIG.C,1,0,1,0,0
CIGI,1,1,1,1,0
CII,1,0,1,0,0
CIK,1,0,1,0,0
CIL,1,0,1,1,0
CIM,1,0,1,0,0
